"Timestamp","Poem"
"2016/05/22 9:50:42 PM EST","An hourglass constricted, the whore inside of me who is watching the clock, monitoring the time, this wasted time to get off, get going, lunar cycle gauge of tide and meridian. How I can hear the sand slip downward in my body clock? I need to be here, could be there, and not long ago the only place you wanted me to be was by your side ... maybe?

I am a pencil that cannot sharpen,

                            ink that slides off paper,

                                                      outside of our time, I am lost,
 
                                                                                 a one ended boomerang.
"
"2016/05/22 9:50:55 PM EST","For once you have tasted flight you will walk the earth with your eyes turned skywards, for there you have been and there you will long to return."
"2016/05/22 9:54:28 PM EST","This downpour of bad reasoning, this age-old swarm,
this buzzing about town, this kick and stomp
through gardens, this snag on the way to the mall,
this heap and toss of fabric and strewn shoes, this tangled
beauty, this I came here not knowing, here
to be torched, this fumbling ecstasy, this ecstasy of fumbling,
this spray of lips and fingers, this scrape of bone, this raid
of private grounds, this heaving and rocking, this scream
and push, this sightless hunger, this tattered perishing,
this rhythmic teeth knocking, this unbearable
music, this motionless grip, grimace, and groan."
"2016/05/22 9:55:26 PM EST","I think she wanted to explain
                                      the silence
             hidden
within her voice—

blue egg in the nettles.

            She wrote something

on a rock, used the rock
                        to bash in the skull
             of an injured deer.

Bloodied swan-neck arms.
                                        She
slinks into her own viscera,

a baby fox
             backing into its trunkhole.

The wordbone's connected to the
                         gutbone.

Meanwhile, her desire

           for nobody now
bucks like a rabbit
                           under her ground."
"2016/05/22 9:56:22 PM EST","Like our  bodies' imprint
Not a sign will remain that we were in this place.
The world closes behind us, 
The sand straightens itself.

Dates are already in view
In which you no longer exist, 
Already a wind blows clouds
Which will not rain on us both.

And your name is already in the passenger lists of ships,
And in the registers of hotels,
Whose names alone
Deaden the heart.

The three languages I know,
All the colors in which I see and dream:

None will help me."
"2016/05/22 9:56:38 PM EST","As the tide rises, the closed mollusc
Opens a fraction to the ocean's food,
Bathed in its riches. Do not ask
What force would do, or if force could.

A knife is of no use against a fortress.
You might break it to pieces as gulls do.
No, only the rising tide and its slow progress
Opens the shell. Lovers, I tell you true.

You who have held yourselves closed hard
Against warm sun and wind, shelled up in fears
And hostile to a touch or tender word—
The ocean rises, salt as unshed tears.

Now you are floated on this gentle flood
That cannot force or be forced, welcome food
Salt as your tears, the rich ocean's blood,
Eat, rest, be nourished on the tide of love."
"2016/05/22 9:57:04 PM EST","boat me around gently.
whoever i'm with
i'm seeing only you.

diplomacy has wounded us.
pierced us. smashed us.
is there something
in the turning
of this river's head
that will mend our dislocations?

your eagle drives my ego.
there is ice in your thighs.

take the buoys of light
for your thighpaths whose
eyes

night has darkened.

"
"2016/05/22 9:58:29 PM EST","I am not saying “mark my words,”
as the thief says early each winter.
He leaves nothing of value. He too wants.
A brute with language, he has a fondness
for preaching. I am bathed to luster.
Memories move musically through my bones.
He sings above, vaults off a horse with feigned
kindness, lands so fancy. Letting go of this,
sitting with tropical leaves the size of men
in a terrarium, I am beautiful. He means well,
admonishing women. He is lucky
with the show of crankiness.
What does it mean to let go the envy?
I sometimes hope stars don’t spread themselves
over New York’s lights. Performing for himself,
glasses glittering, he reads stories of poverty,
claims them all as his own.
Here in Colorado irises of all colors unfold
outwards to the half-hidden sun. On the cracked
cement, chilly before rain, I see perpetual
beginnings. I’m going to forget him:
lock him in a box in my head,
lock him in the haunt of violins, let go
what’s his in the hurl of breath of my groans.
"
"2016/05/22 9:59:25 PM EST","Our matchbox bedroom in the loft above your
     sculpture factory
Turns magical at times
Behind its dark blue Druid door.   Last night,
Inside you, sweetheart,
It felt as if I were coming from the soul itself.

And that Indian Summer Sunday afternoon a year
     ago
When the bed became a meadow
Of purple thistles, the honey hidden at the bottom
     of the stem
Farm kids know to find
For the sweetest suck of all.

And sometimes in the winter when the room turns
     into a Cornell box
Filled with the everyday miracles—
Soap bubble pipe and thimble, wooden rabbits
And old tan magazine illustrations of the Zodiac.
Or turns into an igloo in which the only place to
     go

Is to burrow here below the yellow blanket and
     the pillows
To the South Pacific
Of ourselves.   And then those mornings on
     vacation
Gentle as the feathers of a light spring rain, and
     at the same time hard, like the beak
Of a hawk.   You are where I belong."
"2016/05/22 10:00:33 PM EST","Its nature
is ruthless, nothing
as simple as
loss being ruinous,
those undeniable rainbows
of oil, shock of bright
sulphurous puddles
(in goldfinch, in lemon)
and now what,
if that beauty's
terrible plumage
makes you keep looking
and disturbs your despair. 

"
"2016/05/22 10:01:16 PM EST","Butane, propane
and lungful of diesel.
I did not stand a chance.

Always with poison
breath, bill, responsibility:
a man with rote hands.

Everything in exchange,
rain in a frozen season.
Our roof, roofs strung

with hot wire. Our love,
what was, an impression
of light, gaunt: there is

nothing to get."
"2016/05/22 10:01:24 PM EST","They amputated
Your thighs off my hips.
As far as I'm concerned
They are all surgeons. All of them.

They dismantle us
Each from the other.
As far as I'm concerned
They are all engineers. All of them.

A pity. We were such a good
And loving invention.
An aeroplane made from a man and wife.
Wings and everything.
We hovered a little above the earth.

We even flew a little.

"
"2016/05/22 10:01:45 PM EST","As the tide rises, the closed mollusc
Opens a fraction to the ocean's food,
Bathed in its riches. Do not ask
What force would do, or if force could.

A knife is of no use against a fortress.
You might break it to pieces as gulls do.
No, only the rising tide and its slow progress
Opens the shell. Lovers, I tell you true.

You who have held yourselves closed hard
Against warm sun and wind, shelled up in fears
And hostile to a touch or tender word—
The ocean rises, salt as unshed tears.

Now you are floated on this gentle flood
That cannot force or be forced, welcome food
Salt as your tears, the rich ocean's blood,
Eat, rest, be nourished on the tide of love."
"2016/05/22 10:02:21 PM EST","Inside the Northern General
they’re trying to burn away
a small piece of your heart.

I want to know which bit,
how much
and what it holds.

My questions live
between what doctors call the heart
and what we mean by it,

wide as the gap between brain and mind.
And in our lineage of bypassed hearts
we should be grateful

for the literal. I know my heart
is your heart — good for running,
not much else

and later as you sit up in your borrowed bed
I get the whole thing wrong,
call it oblation. Offering

or sacriﬁce. As if you’d given something up.
As if their tiny ﬁre was ritual
and we could warm by it."
"2016/05/22 10:03:20 PM EST","Take the skin
Take off the skin
Remove the vital organs one by one
especially the heart
What is left
The skeleton
The skeleton is made of calcium
magnesium, phosphorous et cetera:
an amazing catalogue of chemicals
You are holding in your arms
an amazing catalogue of chemicals
The elements clash tenderly
Sparking compounds that move like eels
Under touch."
"2016/05/22 10:03:43 PM EST","Here is a place where declarations
are made/where the heart takes precedence
the gleam goes bland
This is the heart part/intense improvisation
on the I/THOU axis
pity the poor actors (darlings)dust
in their throats (choking) dialogue ancient
(concentrated chatter dictated by clouds)

click of whispers
dammed up phrases     {mythologizing always)
Moans move through their limbs like wind through
Trees talking mad talk 'cross the illuminated
Avenues of hard cities."
"2016/05/22 10:03:57 PM EST","Dime falls, your voice rises (fevered)
It's keen, the way the wind whips this
Garbage up and around like a father
Swinging his baby we are holding hands
And yes, giggling no force can stop us now
We are singing all the James Brown songs
We know helpess off-key, but exhilarated
Columbus Avenue breakdown: how the puddles
In the sidewalks radiate splendor/glass
Broken against high-rise buildings beckon
We are hungry the shifting children salsa
And you may be our feast, please linger
You offer me your laughter
I take the sweat from y our cheeks and hum.

"
"2016/05/22 10:04:09 PM EST","Taste like tears—sea flaked and heated—
Taste like try again and get nowhere,
Maybe, this is the sonnet that mimes itself
Sequences silent and perceptive
The ""might have saids""
The stomach-eating rage
The power of conversation is in its
Possibilities of Interpretation
(here's where the mime becomes important
because the words sound so dumb)
And here's where the anxiety dance gets choreographed.
It goes like this: You turn clockwise.
I turn Counter-Clockwise. We stop, stumble
Resolve our steps. Begin again.

"
"2016/05/22 10:04:26 PM EST","You slipped into something dangerous
after attending to your intimate conferences
Thirsty friends forever requesting water
Or is it blood they want?            Your blood. 
Somebody's screaming. Is it me?
Here on the side street being a sideshow
For passersby. You put on your silver armor.
I have only my quaint devotion.
It is not enough.            You say
I can't eat your food, baby, but I sitll like your cooking.
Did I trip?         Did you?    That Mingus
record is still revolving. You smile
serenely.             I can barely breathe."
"2016/05/22 10:05:20 PM EST","Words from a leaf on the shell of a snail?
Tendency as reciprocity etched in shale.

Cider vinegar wrapped in sealskin?
Accept it, so little is genuine.

A box on a meteor compelled by earth?
Lies, emptiness, grief: it’s not a first.

Frost on the dock at Penetanguishene?
Tears from Lake Huron, Erie, and Michigan.

Not a moment to yourself?
Don’t let love put you on a shelf.

A preponderance of errors?
The soft one sucks her rivers.

Love, love, needs no reason.
Yes, yes, yes, is my season."
"2016/05/22 10:12:03 PM EST","
Sir, I am not a bird of prey:
a Lady does not seize the day.
I trust that brief Time will unfold
our youth, before he makes us old.
How could we two write lines of rhyme
were we not fond of numbered Time
and grateful to the vast and sweet
trials his days will make us meet:
The Grave's not just the body's curse;
no skeleton can pen a verse!
So while this numbered World we see,
let's sweeten Time with poetry,
and Time, in turn, may sweeten Love
and give us time our love to prove.
You've praised my eyes, forehead, breast:
you've all our lives to praise the rest.
"
"2016/05/22 10:12:44 PM EST","The lords of life, the lords of life,—
I saw them pass,
In their own guise,
Like and unlike,
Portly and grim,—
Use and Surprise,
Surface and Dream,
Succession swift and spectral Wrong,
Temperament without a tongue,
And the inventor of the game
Omnipresent without name;—
Some to see, some to be guessed,
They marched from east to west:
Little man, least of all,
Among the legs of his guardians tall,
Walked about with puzzled look.
Him by the hand dear Nature took,
Dearest Nature, strong and kind,
Whispered, ‘Darling, never mind!
To-morrow they will wear another face,
The founder thou; these are thy race!’ "
"2016/05/22 10:15:30 PM EST","
I was angry with my friend; 
I told my wrath, my wrath did end.
I was angry with my foe: 
I told it not, my wrath did grow. 

And I waterd it in fears,
Night & morning with my tears: 
And I sunned it with smiles,
And with soft deceitful wiles. 

And it grew both day and night. 
Till it bore an apple bright. 
And my foe beheld it shine,
And he knew that it was mine. 

And into my garden stole, 
When the night had veild the pole; 
In the morning glad I see; 
My foe outstretched beneath the tree.
"
"2016/05/22 10:17:38 PM EST","
Tyger Tyger, burning bright, 
In the forests of the night; 
What immortal hand or eye, 
Could frame thy fearful symmetry?

In what distant deeps or skies. 
Burnt the fire of thine eyes?
On what wings dare he aspire?
What the hand, dare seize the fire?

And what shoulder, & what art,
Could twist the sinews of thy heart?
And when thy heart began to beat,
What dread hand? & what dread feet?

What the hammer? what the chain, 
In what furnace was thy brain?
What the anvil? what dread grasp, 
Dare its deadly terrors clasp! 

When the stars threw down their spears 
And water'd heaven with their tears: 
Did he smile his work to see?
Did he who made the Lamb make thee?

Tyger Tyger burning bright, 
In the forests of the night: 
What immortal hand or eye,
Dare frame thy fearful symmetry?
"
"2016/05/22 10:19:28 PM EST","
In the desert
I saw a creature, naked, bestial,
Who, squatting upon the ground,
Held his heart in his hands,
And ate of it.
I said, “Is it good, friend?”
“It is bitter—bitter,” he answered;

“But I like it
“Because it is bitter,
“And because it is my heart.”
"
"2016/05/22 10:20:39 PM EST","All night the sound had
come back again,
and again falls
this quiet, persistent rain.
 
What am I to myself
that must be remembered,
insisted upon
so often? Is it
 
that never the ease,
even the hardness,
of rain falling
will have for me
 
something other than this,
something not so insistent—
am I to be locked in this
final uneasiness.
 
Love, if you love me,
lie next to me.
Be for me, like rain,
the getting out
 
of the tiredness, the fatuousness, the semi-
lust of intentional indifference.
Be wet
with a decent happiness."
"2016/05/22 10:23:50 PM EST","
Despite that you
wrote your name
and number
on its fuselage
in magic marker

neither your quiet
hours at the kitchen
table assembling
it with glue

nor your choice of
paint and lacquer

nor your seemingly
equally perfect
choice of a seemingly
breezeless day
for the launch of
your ambition

nor the thrill
of its swift ignition

nor the heights
it streaks

nor the dancing
way you chase
beneath its

dot

across that
seemingly endless
childhood field

will ever be
restored to you

by the people
in the topmost
branches of whose trees

unseen

it may yet from
its plastic
chute
on thin
white
string

still swing.
"
"2016/05/22 10:24:18 PM EST","
Everything contains some   
silence. Noise gets
its zest from the
small shark's-tooth
shaped fragments
of rest angled
in it. An hour   
of city holds maybe   
a minute of these   
remnants of a time   
when silence reigned,   
compact and dangerous   
as a shark. Sometimes   
a bit of a tail   
or fin can still   
be sensed in parks.
"
"2016/05/22 10:24:48 PM EST","
The galloping collection of boards   
are the house which I afforded   
one evening to walk into
just as the night came down.

Dark inside, the candle
lit of its own free will, the attic   
groaned then, the stairs
led me up into the air.

From outside, it must have seemed   
a wonder that it was
the inside he as me saw
in the dark there.
"
"2016/05/22 10:25:43 PM EST","
With thick strokes of ink the sky fills with rain.
Pretending to run for cover but secretly praying for more rain.

Over the echo of the water, I hear a voice saying my name.
No one in the city moves under the quick sightless rain.

The pages of my notebook soak, then curl. I’ve written:
“Yogis opened their mouths for hours to drink the rain.”

The sky is a bowl of dark water, rinsing your face.
The window trembles; liquid glass could shatter into rain.

I am a dark bowl, waiting to be filled.
If I open my mouth now, I could drown in the rain.

I hurry home as though someone is there waiting for me.
The night collapses into your skin. I am the rain.
"
"2016/05/22 10:27:41 PM EST","
Are you shaken, are you stirred
    By a whisper of love,
Spellbound to a word
    Does Time cease to move,
Till her calm grey eye
    Expands to a sky
And the clouds of her hair
    Like storms go by?
 
Then the lips that you have kissed
    Turn to frost and fire,
And a white-steaming mist
    Obscures desire:
So back to their birth
    Fade water, air, earth,
And the First Power moves
    Over void and dearth.

Is that Love? no, but Death,
    A passion, a shout,
The deep in-breath,
    The breath roaring out,
And once that is flown,
    You must lie alone,
Without hope, without life,
    Poor flesh, sad bone.
"
"2016/05/22 10:29:53 PM EST","I lov’d thee from the earliest dawn,
     When first I saw thy beauty’s ray,
And will, until life’s eve comes on,
     And beauty’s blossom fades away;
And when all things go well with thee,
With smiles and tears remember me."
"2016/05/22 10:30:01 PM EST"," I’ll love thee when thy morn is past,
     And wheedling gallantry is o’er,
When youth is lost in age’s blast,
     And beauty can ascend no more,
And when life’s journey ends with thee,
O, then look back and think of me."
"2016/05/22 10:30:10 PM EST"," I’ll love thee with a smile or frown,
     ’Mid sorrow’s gloom or pleasure’s light,
And when the chain of life runs down,
     Pursue thy last eternal flight,
When thou hast spread thy wing to flee,
Still, still, a moment wait for me."
"2016/05/22 10:30:25 PM EST"," I’ll love thee for those sparkling eyes,
     To which my fondness was betray’d,
Bearing the tincture of the skies,
     To glow when other beauties fade,
And when they sink too low to see,
Reflect an azure beam on me. "
"2016/05/22 10:32:28 PM EST","
Life, like a marble block, is given to all,   
A blank, inchoate mass of years and days,   
Whence one with ardent chisel swift essays   
Some shape of strength or symmetry to call;   
One shatters it in bits to mend a wall;   
One in a craftier hand the chisel lays,   
And one, to wake the mirth in Lesbia’s gaze,   
Carves it apace in toys fantastical.   

But least is he who, with enchanted eyes   
Filled with high visions of fair shapes to be,   
Muses which god he shall immortalize   
In the proud Parian’s perpetuity,   
Till twilight warns him from the punctual skies   
That the night cometh wherein none shall see.
"
"2016/05/22 10:35:11 PM EST","crab apples for the sound of it. Light cannot
be bitter. The backyard licks us.

Blue like kindling, the fox we caught with
a shoebox. Your shirt is a constellation

in the tent of recovery. If you release the hand
you relax the animal. Bookshelves hold up

the moon. I sweep your fur into a feeling.
I put you into my memories on purpose.

Moss smuggles stars into your cheeks.
Inside your body’s future, bravery turns to pulp.

The flashlight pendulum. Your face sounds like that
record player. Electric & spinning.

Let’s grow old together. Don’t be scared
of Gertrude Stein. Be brave."
"2016/05/22 10:35:20 PM EST","Morning’s a new bird
stirring against me
out of a quiet nest,
coming to flight—

quick-changing,
slow-nodding,
breath-filling body,

life-holding,
waiting,
clean as clear water,

warmth-given,
fire-driven
kindling companion,

mystery and mountain,
dark-rooted,
earth-anchored."
"2016/05/22 10:36:18 PM EST"," Just because
people love your mind, 
doesn't mean they 
have to have 
your body, 
too."
"2016/05/22 10:36:29 PM EST"," The sun's gone dim, and
The moon's turned black;
For I loved him, and
He didn't love back."
"2016/05/22 10:38:33 PM EST","Pink and perfect mystery 
to which I ply my finger, 
she ripens so exquisitely
the longer that I linger

and fluff the modest blossom
with my gentle loving hand,
teasing, ever pleasing
so that now I understand

how beautiful the flower
that yields without duress,
blooming now so fully
in the warmth of my caress."
"2016/05/22 10:38:50 PM EST","I often scribble in the sand 
The words I find so hard to say
And hope the wind will come along 
And blow them all your way."
"2016/05/22 10:40:10 PM EST","Your beauty deep inside
Behind those bedroom eyes
Most men will fail to find
With you only as a prize

I can see it clear as day
Shining from your soul
Hiding from the prey
It truly makes you whole

So wipe away your tears
Set your beauty free
Leave behind your fears
Come walk away with me"
"2016/05/22 10:42:11 PM EST","We alone can devalue gold
by not caring
if it falls or rises
in the marketplace.

Wherever there is gold
there is a chain, you know,
and if your chain
is gold
so much the worse
for you.



Feathers, shells
and sea-shaped stones
are all as rare.



This could be our revolution:
to love what is plentiful
as much as
what's scarce."
"2016/05/22 10:44:15 PM EST","From time to time
The clouds give rest
To the moon-beholders."
"2016/05/22 10:45:30 PM EST","Love is more thicker than forget
more thinner than recall
more seldom than a wave is wet
more frequent than to fail

It's most mad and moonly
and less it shall unbe
than all the sea which only
is deeper than the sea

Love is more always than to win
less never than alive
less bigger than the least begin
less litter than forgive

It's most sane and sunly
and more it cannot die
than all the sky which only
is higher than the sky"
"2016/05/22 10:45:49 PM EST","How can there be peace?
How can I be in the depths of solitude
When there are two inside of me?
This duo in me causes the perfect opportunity
To learn and live twice as fast
As those who accept simplicity."
